Id,STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,STATE_ENCODED,DISTRICT_ENCODED,LATITUDE,LONGITUDE,YEAR_INDEX
1,ANDHRA PRADESH,ADILABAD,2001,0.1863468634686347,0.08097165991902834,0.07053941908713693,0.08802816901408451,0.0,0.08802816901408451,0.04983748645720477,0.055762081784386616,0.03305785123966942,0.028391167192429023,0.0,0.014871236851650343,0.06236220472440945,0.015081470253884047,0.00310998020921685,0.019605671245015506,0.02452059100911663,0.02295552367288379,0.0329635499207607,0.004608294930875576,0.01276595744680851,0.2338226173247881,0.09523809523809523,0.12811693895098883,0.027048528241845664,0.057660626029654036,0.0,0.08794946550048591,0.046776778010600276,4154,0.05555555555555555,0.003640776699029126,0.23032548521207163,0.3631805705447957,0
2,ANDHRA PRADESH,ANANTAPUR,2001,0.2785977859778598,0.16869095816464236,0.004149377593360996,0.040492957746478875,0.0,0.040492957746478875,0.057421451787648965,0.055762081784386616,0.047520661157024795,0.025236593059936908,0.0,0.005803409503083061,0.060157480314960626,0.027737779461917394,0.008057675996607293,0.03422684980062029,0.05281358063502043,0.015781922525107604,0.020602218700475437,0.03686635944700461,0.029361702127659574,0.3189993797808559,0.041666666666666664,0.10146173688736028,0.01909307875894988,0.05074135090609555,0.0,0.13119533527696792,0.023234315296437817,4125,0.05555555555555555,0.03762135922330097,0.23032548521207163,0.3631805705447957,0
3,ANDHRA PRADESH,CHITTOOR,2001,0.1863468634686347,0.07692307692307691,0.008298755186721992,0.04753521126760563,0.0,0.04753521126760563,0.06392199349945829,0.06319702602230483,0.05165289256198347,0.012618296529968454,0.0,0.005077983315197678,0.07464566929133858,0.05479348237968928,0.023183488832343793,0.06191847585290208,0.04904118201823326,0.047345767575322814,0.06624405705229794,0.041474654377880185,0.016170212765957447,0.43167252429191644,0.08333333333333333,0.09630266552020636,0.066030230708035,0.061285008237232284,0.0,0.19630709426627793,0.038888204116849505,5818,0.05555555555555555,0.19053398058252424,0.23032548521207163,0.3631805705447957,0
4,ANDHRA PRADESH,CUDDAPAH,2001,0.14760147601476015,0.07152496626180836,0.004149377593360996,0.035211267605633804,0.0,0.035211267605633804,0.027085590465872153,0.03717472118959107,0.010330578512396695,0.0031545741324921135,0.0,0.0014508523757707653,0.030866141732283463,0.013111026904130354,0.0050890585241730275,0.01517501107665042,0.051556114429424704,0.017216642754662843,0.011727416798732172,0.009216589861751152,0.00978723404255319,0.164358073185859,0.10119047619047619,0.10834049871023216,0.03023070803500398,0.018780889621087312,0.0,0.11321671525753157,0.03639221003327992,3140,0.05555555555555555,0.21237864077669902,0.23032548521207163,0.3631805705447957,0
5,ANDHRA PRADESH,EAST GODAVARI,2001,0.15129151291512916,0.0904183535762483,0.004149377593360996,0.040492957746478875,0.0,0.040492957746478875,0.05308775731310942,0.0483271375464684,0.047520661157024795,0.012618296529968454,0.0,0.009067827348567283,0.13763779527559056,0.07737779461917393,0.021204410517387615,0.09647762516614976,0.02200565859792518,0.07173601147776185,0.06973058637083994,0.013824884792626727,0.017446808510638297,0.257184205085797,0.07142857142857142,0.0937231298366294,0.046141607000795545,0.0813838550247117,0.0,0.20942662779397472,0.07127449771970912,6507,0.05555555555555555,0.27184466019417475,0.23032548521207163,0.3631805705447957,0
6,ANDHRA PRADESH,GUNTAKAL RLY.,2001,0.005535055350553505,0.001349527665317139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015772870662460567,0.0,0.0007254261878853826,0.0,0.012277377794619175,0.0,0.0179441736818786,0.00031436655139893113,0.0,0.0,0.013824884792626727,0.0,0.0002067397146991937,0.0,0.0008598452278589854,0.0,0.0,0.0,0.001943634596695821,0.003204733144336251,287,0.05555555555555555,0.34344660194174753,0.23032548521207163,0.3631805705447957,0
7,ANDHRA PRADESH,GUNTUR,2001,0.33579335793357934,0.11875843454790823,0.008298755186721992,0.09507042253521127,0.0,0.09507042253521127,0.08884073672806067,0.09479553903345725,0.06404958677685951,0.050473186119873815,0.006382978723404256,0.02140007254261879,0.10645669291338582,0.0850322091701402,0.02417302798982188,0.10533894550287992,0.0767054385413392,0.09612625538020086,0.09508716323296355,0.03686635944700461,0.01829787234042553,0.3704775687409551,0.041666666666666664,0.11951848667239898,0.10262529832935562,0.12454695222405271,0.0,0.1793002915451895,0.07475656353999754,7848,0.05555555555555555,0.34466019417475724,0.23032548521207163,0.3631805705447957,0
8,ANDHRA PRADESH,HYDERABAD CITY,2001,0.2047970479704797,0.1524966261808367,0.029045643153526972,0.06514084507042253,0.0,0.06514084507042253,0.0866738894907909,0.0724907063197026,0.08471074380165289,0.04100946372239748,0.0,0.024301777294160318,0.3637795275590551,0.21159530125047368,0.15945716709075486,0.1843154630039876,0.020433825840930522,0.14490674318507893,0.4098256735340729,0.11059907834101382,0.0,0.6485424850113707,0.14285714285714285,0.10146173688736028,0.021479713603818618,0.2457990115321252,0.0,0.1987366375121477,0.04659188955996549,11831,0.05555555555555555,0.37864077669902907,0.23032548521207163,0.3631805705447957,0
9,ANDHRA PRADESH,KARIMNAGAR,2001,0.2988929889298893,0.11470985155195682,0.024896265560165977,0.09859154929577466,0.0,0.09859154929577466,0.07258938244853737,0.09107806691449814,0.0371900826446281,0.08517350157728706,0.002127659574468085,0.018135654697134566,0.06866141732283464,0.02970822281167109,0.007633587786259542,0.03743907842268498,0.06916064130776485,0.03586800573888092,0.07702060221870048,0.02304147465437788,0.014042553191489362,0.28778168286127764,0.369047619047619,0.35597592433361996,0.06443914081145585,0.07380560131795716,0.0,0.15646258503401358,0.053186244299272774,5811,0.05555555555555555,0.4817961165048543,0.23032548521207163,0.3631805705447957,0
10,ANDHRA PRADESH,KHAMMAM,2001,0.17158671586715868,0.08097165991902834,0.004149377593360996,0.08274647887323944,0.0,0.08274647887323944,0.044420368364030335,0.055762081784386616,0.022727272727272728,0.0031545741324921135,0.0,0.004715270221254987,0.054173228346456694,0.027889352027283064,0.004806333050607859,0.03699601240584847,0.04809808236403646,0.05021520803443329,0.04120443740095087,0.02304147465437788,0.031063829787234043,0.21211494728137276,0.10119047619047619,0.15477214101461736,0.26730310262529833,0.056672158154859965,0.0,0.10155490767735666,0.04468137557007273,4582,0.05555555555555555,0.49878640776699024,0.23032548521207163,0.3631805705447957,0
