loss,mae,val_loss,val_mae,lr
18315432.0,2928.837158203125,16772084.0,2837.947021484375,0.001
17004858.0,2839.527099609375,15046314.0,2729.028076171875,0.001
14347026.0,2628.15185546875,12015364.0,2494.666015625,0.001
10392449.0,2254.467041015625,7410334.5,2071.5068359375,0.001
6038748.0,1662.892333984375,4258494.0,1636.259033203125,0.001
2757274.25,1027.2054443359375,521080.125,564.1405029296875,0.001
1998939.375,772.2042236328125,648599.625,647.0346069335938,0.001
1679873.375,710.974609375,1564424.75,816.6517944335938,0.001
1668686.125,697.7340698242188,706965.0,494.96185302734375,0.001
1534067.25,667.7914428710938,923428.5625,546.373291015625,0.001
1673574.625,652.916748046875,447329.96875,402.7040100097656,0.001
1579373.5,672.1972045898438,529129.875,418.32733154296875,0.001
1459083.375,622.7944946289062,807191.375,498.4593811035156,0.001
1473837.0,656.7096557617188,214006.296875,254.0261993408203,0.001
1363980.5,615.3361206054688,341155.375,319.2574157714844,0.001
1421939.0,638.8413696289062,201951.84375,255.05979919433594,0.001
1702504.875,649.9229125976562,268176.125,290.9454650878906,0.001
1520192.875,638.1229248046875,643885.8125,425.5792236328125,0.001
1387489.875,644.5972900390625,690471.5,463.7963562011719,0.001
1582368.375,667.0264892578125,493967.5,398.53955078125,0.001
1643360.75,679.4501953125,216591.703125,271.93572998046875,0.001
1451209.125,654.04150390625,311254.1875,312.84124755859375,0.001
1424476.875,636.8513793945312,504749.4375,393.70404052734375,0.001
1493090.75,634.7686767578125,316992.15625,317.14019775390625,0.0005
1466286.875,628.1050415039062,546691.25,410.31146240234375,0.0005
1277844.5,617.6272583007812,438930.375,359.2070617675781,0.0005
1593035.0,645.25537109375,359873.625,322.9323425292969,0.0005
1401885.625,624.610595703125,370835.34375,325.8435974121094,0.0005
1567002.875,649.4200439453125,260585.484375,277.71929931640625,0.0005
1216967.375,599.2330322265625,680072.6875,462.48760986328125,0.0005
1382494.875,627.0032348632812,356231.09375,325.2331848144531,0.00025
