loss,mae,val_loss,val_mae,lr
18288218.0,2927.55712890625,16658946.0,2831.773193359375,0.001
16949550.0,2834.948974609375,14387262.0,2688.64892578125,0.001
14260230.0,2620.71484375,11397304.0,2448.564697265625,0.001
10297647.0,2247.748779296875,7073043.5,2008.1640625,0.001
5983665.5,1662.005615234375,3329594.75,1369.152587890625,0.001
2746865.0,1026.7783203125,1871816.75,989.4419555664062,0.001
1829700.0,790.1221923828125,2314537.75,1193.2364501953125,0.001
1695220.125,710.666748046875,1694479.625,985.6920776367188,0.001
1719144.75,687.3637084960938,223374.515625,304.333984375,0.001
1529655.5,666.6932983398438,1737366.5,838.7588500976562,0.001
1731273.625,661.4381103515625,263278.03125,275.51953125,0.001
1527811.625,669.1627807617188,531194.5625,400.39971923828125,0.001
1489673.875,632.3521118164062,594796.0,452.86871337890625,0.001
1476469.625,654.3911743164062,298367.4375,290.0003356933594,0.001
1368254.875,624.41796875,523775.75,367.7036437988281,0.001
1441920.0,649.5499877929688,242657.953125,258.4158630371094,0.001
1693935.5,654.68603515625,389830.0,351.8445739746094,0.0005
1536735.875,629.4091186523438,379974.40625,329.9301452636719,0.0005
1479208.5,653.897216796875,388324.59375,320.5429992675781,0.0005
1597332.625,673.548828125,664835.0,450.19390869140625,0.0005
1618577.25,670.8934326171875,315468.15625,305.14239501953125,0.0005
1431497.625,650.27490234375,435976.3125,352.2027282714844,0.0005
1426476.125,626.7700805664062,336463.5,322.0451354980469,0.0005
1507717.125,643.0760498046875,382720.375,327.0730285644531,0.00025
