Fold,2Way_R2,3Way_R2,2Way_RMSE,3Way_RMSE,2Way_MAE,3Way_MAE,2Way_MedAE,3Way_MedAE,2Way_sMAPE,3Way_sMAPE,2Way_MAPE,3Way_MAPE
1,0.9774935245513916,0.9729884266853333,495.9118022642736,543.2823563764979,291.3697814941406,318.8605041503906,207.860595703125,219.916748046875,24.091020226478577,24.339674413204193,78.70078086853027,74.33790564537048
2,0.9758182764053345,0.9701533317565918,516.3288378059084,573.6282278183319,345.11334228515625,368.9955749511719,277.9010009765625,290.595947265625,29.026266932487488,28.8349449634552,120.60952186584473,112.21616268157959
3,0.9753046631813049,0.9774473905563354,496.91564299184625,474.86846863105154,326.56134033203125,317.2347717285156,267.126953125,251.3896484375,27.573546767234802,27.67481505870819,120.23183107376099,133.79380702972412
4,0.9625689387321472,0.9567751288414001,580.3014033672501,623.5977018479141,311.4649963378906,340.340576171875,256.5128173828125,290.6968994140625,30.902540683746338,31.837958097457886,148.29334020614624,146.19839191436768
5,0.9322428703308105,0.9230818152427673,826.5091877892223,880.6122869912729,281.69512939453125,331.5244140625,189.551025390625,232.5185546875,20.488785207271576,21.63127362728119,49.68955218791962,50.441884994506836
