Fold,2Way_R2,3Way_R2,2Way_RMSE,3Way_RMSE,2Way_MAE,3Way_MAE,2Way_MedAE,3Way_MedAE,2Way_sMAPE,3Way_sMAPE,2Way_MAPE,3Way_MAPE
1,0.9731098413467407,0.9773269295692444,542.059815656907,497.74351766246036,335.6558532714844,286.5807189941406,259.8173828125,195.943603515625,27.58980393409729,22.90700525045395,95.10330557823181,67.1698808670044
2,0.9683642983436584,0.9698763489723206,590.5701429550938,576.2841096195522,379.6698303222656,356.7566223144531,284.755859375,265.7845458984375,27.37661898136139,27.319955825805664,103.82366180419922,102.65616178512573
3,0.9786044359207153,0.9825862646102905,462.52660396457196,417.2740593722548,332.8635559082031,290.79547119140625,273.0618896484375,242.63250732421875,30.2448570728302,27.496415376663208,161.97144985198975,134.42387580871582
4,0.9575508832931519,0.9610781669616699,617.9765114872895,591.7443229554467,301.3506774902344,304.290771484375,227.608642578125,236.45458984375,27.750670909881592,29.85341250896454,120.85905075073242,142.5339937210083
5,0.9227883815765381,0.9280113577842712,882.2902725293983,851.9266033526598,339.7486572265625,317.1573181152344,239.216796875,220.650634765625,21.490870416164398,21.756036579608917,48.3187198638916,54.063016176223755
