loss,mae,val_loss,val_mae,lr
18451202.0,2936.02734375,17550780.0,2885.18994140625,0.001
17793170.0,2886.046630859375,16892066.0,2843.488525390625,0.001
16550910.0,2785.9072265625,14891719.0,2658.05615234375,0.001
14531810.0,2610.943115234375,13001682.0,2522.81884765625,0.001
11801558.0,2345.919189453125,9763691.0,2227.382568359375,0.001
8580080.0,1962.674072265625,8829001.0,2209.107421875,0.001
5459007.5,1470.1658935546875,3343561.0,1290.62109375,0.001
3119959.25,1008.5446166992188,1565747.125,785.028564453125,0.001
2434906.5,837.1079711914062,1034187.6875,675.682861328125,0.001
2088933.875,789.9190673828125,974069.6875,572.88427734375,0.001
2160053.0,761.4219360351562,734766.75,470.9576721191406,0.001
1953823.375,760.3684692382812,1203272.375,773.99267578125,0.001
1823102.5,724.7748413085938,1459184.875,888.0393676757812,0.001
1785174.625,728.1976928710938,1740524.25,937.9803466796875,0.001
1642030.75,702.75048828125,1404674.625,927.3067626953125,0.001
1686110.875,719.195556640625,1369227.875,908.5238037109375,0.001
1878055.5,717.59765625,1091829.625,765.2713623046875,0.001
1712930.125,694.520263671875,1114649.875,714.2230834960938,0.001
1497920.0,678.172607421875,1586089.0,948.662109375,0.0005
1631904.0,686.7269897460938,732124.5,562.78076171875,0.0005
1667258.75,689.6683959960938,569336.25,440.76123046875,0.0005
1473025.125,670.814453125,833625.3125,642.3098754882812,0.0005
1511490.5,658.3936157226562,689932.9375,513.4744873046875,0.0005
1529900.25,651.5902709960938,1099773.875,780.70068359375,0.0005
1506927.75,653.8989868164062,628494.3125,492.3995056152344,0.0005
1353748.25,639.2127075195312,1459782.0,935.1644287109375,0.0005
1623324.625,657.3507080078125,812590.0625,546.8594360351562,0.0005
1489148.25,643.1802368164062,1275938.0,892.8330078125,0.0005
1570280.625,656.2991333007812,680085.5,545.258544921875,0.00025
1250481.375,606.9912719726562,712190.25,562.8850708007812,0.00025
1379490.0,626.752685546875,786634.25,623.119140625,0.00025
1389248.0,615.7689208984375,739194.375,595.5301513671875,0.00025
1408342.375,623.2883911132812,698537.6875,565.0602416992188,0.00025
1372552.875,620.2742919921875,1050498.375,787.9108276367188,0.00025
1338544.0,621.4690551757812,871351.3125,676.2205810546875,0.00025
1405460.5,626.3900146484375,890731.25,681.1451416015625,0.000125
